ID,cluster_ID,residential_area,n_residential_area,admin_0,admin_1,admin_2,admin_3,OSM,urban_percentage,n_buildings,area,extension,population_facebook,population_worldpop,population_density,building_density,night_lights,schools,hospitals,distance_road,distance_grid,distance_official_substations,distance_substations,grid_buildings,lights_build,centroid,polygons,Existing_220.0:,Planned_220.0:,Existing_110.0:,Planned_400.0:,Planned_110.0:,type
1183,313,100.000009,1,['Mozambique'],0,0,0,No OSM location found,0.0,104,0.028364254,0.297034174,57.88992082,110.4701004,3894.69433,3666.586785,0.0,0,0,5.753632014,46.68508133,0,0,0,0.0,POINT (109632.5257773094 8125075.863433715),"0    POLYGON ((109534.201 8125043.974, 109579.242 8...
Name: geometry, dtype: geometry",,,,,,Rural
1184,314,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,335,0.670052856,1.435910035,800.4257512,582.972229,870.0391669,499.960558,0.0,0,0,0.028622789,80.78158653,0,0,0,0.0,POINT (466665.9480966284 8124485.414227458),"0    POLYGON ((466186.418 8124421.028, 466186.269 8...
Name: geometry, dtype: geometry",,,,,,Rural
1185,315,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,127,0.365023431,1.222105136,549.902565,381.495575,1045.126266,347.9228711,0.0,0,0,0.02466084,45.06592102,0,0,0,0.0,POINT (153651.9821221396 8124501.506039501),"0    POLYGON ((153417.135 8124891.382, 153416.568 8...
Name: geometry, dtype: geometry",,,,,,Rural
119,37,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,138,0.390296633,1.178110744,609.5539678,466.0299377,1194.040374,353.5772239,100.0,0,0,1.653636763,18.21338277,0,0,0,100.0,POINT (284798.1827143407 8020675.092897616),"0    POLYGON ((284494.002 8020432.105, 284440.689 8...
Name: geometry, dtype: geometry",,,,,,Suburban
1197,316,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,148,0.415239771,1.012025799,358.5907366,294.8163147,709.9905529,356.4205798,0.0,1,0,2.477633436,88.95517951,0,0,0,0.0,POINT (456528.6435810083 8127441.204553034),"0    POLYGON ((456243.699 8127259.617, 456243.507 8...
Name: geometry, dtype: geometry",,,,,,Rural
120,38,68.25832666,5,['Mozambique'],0,0,0,No OSM location found,0.0,4155,1.837470739,3.117078986,10196.95971,11960.78125,6509.372365,2261.260499,100.0,1,1,0.70962862,15.90999815,0,0,0,100.0,POINT (279070.6435628677 8021285.001507538),"0    POLYGON ((278454.489 8020550.147, 278454.369 8...
Name: geometry, dtype: geometry",,,,,,City
121,39,99.99999693,1,['Mozambique'],0,0,0,No OSM location found,0.0,253,0.344032108,1.13850601,718.4051736,686.3321533,1994.965406,735.3964773,100.0,1,1,4.72441402,17.48002524,0,0,0,100.0,POINT (270308.3683757534 8020792.404372276),"0    POLYGON ((269916.548 8020489.465, 269946.736 8...
Name: geometry, dtype: geometry",,,,,,Suburban
1215,317,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,958,1.828456993,3.257819184,3108.632868,3078.269287,1683.533875,523.939039,0.0,2,0,0.002624005,46.90094024,0,0,0,0.0,POINT (153353.0005950768 8126333.58573743),"0    POLYGON ((151793.215 8126341.821, 151792.642 8...
Name: geometry, dtype: geometry",,,,,,Suburban
122,40,99.99999706,1,['Mozambique'],0,0,0,No OSM location found,0.0,219,0.354594972,1.101330586,986.4318613,825.9492188,2329.275043,617.6060498,0.0,0,1,5.480272405,12.35853961,0,0,0,0.0,POINT (150373.9664003092 8021970.602297607),"0    POLYGON ((150041.955 8022009.675, 150066.751 8...
Name: geometry, dtype: geometry",,,,,,Rural
1221,318,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,496,1.013123891,1.644085138,792.3028034,687.9769287,679.0649546,489.574873,100.0,0,0,0.093469357,35.60891308,0,0,0,100.0,POINT (193952.5002369949 8122239.066626384),"0    POLYGON ((193438.387 8122562.481, 193437.995 8...
Name: geometry, dtype: geometry",,,,,,Rural
1222,319,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,1169,2.089707741,2.845034013,1732.010779,1659.056641,793.9180242,559.4083695,100.0,2,1,0.44555085,35.15686544,0,0,0,100.0,POINT (192627.3366990069 8121556.171491043),"0    POLYGON ((191488.537 8122256.848, 191488.136 8...
Name: geometry, dtype: geometry",,,,,,Rural
1223,320,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,910,1.817243584,2.722206216,2433.294284,2170.963867,1194.646599,500.7584058,0.0,1,0,0.078710722,77.3961003,0,0,0,0.0,POINT (471239.9566519232 8122396.609872006),"0    POLYGON ((470359.151 8122399.569, 470359.020 8...
Name: geometry, dtype: geometry",,,,,,Rural
1225,321,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,203,0.404694545,1.138754868,396.2552796,395.1017151,976.2961227,501.6128894,0.0,1,0,0.080041532,6.614567169,0,0,0,0.0,POINT (297366.5963736442 8122650.774390464),"0    POLYGON ((296976.996 8122442.413, 296976.341 8...
Name: geometry, dtype: geometry",,,,,,Rural
1226,322,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,163,0.537235099,1.439995198,442.8735478,337.2854309,627.8171917,303.4053441,0.0,0,0,0.17250626,2.199706469,0,0,0,0.0,POINT (282651.5497657342 8122778.922902547),"0    POLYGON ((282061.583 8122660.748, 282061.582 8...
Name: geometry, dtype: geometry",,,,,,Suburban
1227,323,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,318,0.738515072,1.66760851,307.3634885,639.5704956,866.0222651,430.5937847,0.0,1,0,0.021166681,82.78079717,0,0,0,0.0,POINT (464805.3591444608 8123752.039349993),"0    POLYGON ((464058.227 8123771.974, 464058.069 8...
Name: geometry, dtype: geometry",,,,,,Rural
